subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
physics,11,1,Systems of Units and SI Units,b,apparatus,illustration,gap_concept_map,high,"c7 renders Figure 1.1: a central box '7 SI Base Units (m, kg, s, A, K, mol, cd)' with seven arrows fanning out to derived-unit boxes (m/s, N, Pa, J), plus a detached 'Supplementary: radian, steradian' box. Two independent passes agree (GAP).",0.7740
physics,11,1,"Measurement of Length, Mass and Time",b,apparatus,illustration,none_symbolic,med,"c65/c66/c77 are prose and a cheat sheet: parallax D=b/theta, angular size d=alpha*D, echo D=vt/2, oleic-acid film t=V/A, order-of-magnitude ranges. No figure number or caption in this concept's chunks. Two independent passes agree (none_symbolic).",0.7469
physics,11,1,Measuring Instruments: Vernier Callipers and Screw Gauge,b,circuit,widget,apparatus,high,"c52-c58 teach the vernier callipers and screw gauge as physical instruments: jaws, main and vernier scales, pitch, ratchet, backlash; Figure 1.5 draws the closed-jaw zero positions of a real vernier scale. Two independent passes agree (apparatus).",0.7673
physics,11,1,Errors in Measurement,b,apparatus,illustration,none_symbolic,med,"c27/c38/c39 are definitions and formulas (mean, mean absolute, relative, percentage error; archer analogy only in prose). The one figure retrieved, Figure 1.5 in c58, is the vernier zero-error sketch of a sibling. Two independent passes agree (none_symbolic).",0.7263
physics,11,1,Propagation of Errors,b,apparatus,illustration,gap_decision_card,high,"c31/c32 carry Figure 1.3: a two-column chart, left 'Absolute errors ADD' (x=a+/-b, Dx=Da+Db), right 'Relative (%) errors ADD' (x=a^p b^q/c^r), caption strip 'ALWAYS worst case: every error pushes the same way.'. Two independent passes agree (GAP).",0.7321
physics,11,1,Significant Figures,b,none_symbolic,none,gap_decision_card,high,"c45/c46 carry Figure 1.4: a two-column decision card, left 'x or / -> count SIGNIFICANT FIGURES, keep the least' (2.5x3.42->8.6), right '+ or - -> count DECIMAL PLACES' (12.5+0.0021->12.5), banner 'Round ONCE, at the end.'. Two independent passes agree (GAP).",0.7754
physics,11,1,Dimensions and Dimensional Formulae,b,none_symbolic,none,none_symbolic,high,"c14/c16/c17 give bracket notation, the homogeneity principle and a reference list of dimensional formulae (velocity, force, work, viscosity, G, h) with SI units. No figure caption here; the table cells are symbols. Two independent passes agree (none_symbolic).",0.7859
physics,11,1,Dimensional Analysis and Its Applications,b,none_symbolic,none,none_symbolic,high,"c17/c21/c22/c26 are procedures and worked algebra: checking s=ut+at^2/3, deriving v=C sqrt(T/mu) and f=C sqrt(G rho), the n1u1=n2u2 conversion. Nothing drawn; no figure caption in these chunks. Two independent passes agree (none_symbolic).",0.7372
physics,11,2,Kinematic Quantities,b,motion_path,widget,gap_motion_graph,med,"Sub-topic 01 is this concept, and c99/c100 render its Figure 2.1: an x-t curve with A(t1,x1), B(t2,x2), the secant chord 'slope = average velocity' and the tangent at A 'slope = instantaneous velocity'. Two independent passes agree (GAP).",0.7290
physics,11,2,Average and Instantaneous Quantities,b,none_symbolic,none,gap_motion_graph,high,"c99/c100 give Figure 2.1: an x-t curve, secant chord AB labelled 'slope = average velocity', tangent at A labelled 'slope = instantaneous velocity', with Dt and Dx marked. Two independent passes agree (GAP).",0.7271
physics,11,2,Graphical Analysis,b,xy_plot,widget,gap_motion_graph,high,"Four figures in the retrieved chunks: Fig 2.2 (2x3 panel of x-t and v-t shapes, c113), Fig 2.3 (trapezium v-t split triangle/rectangle/triangle, c115), Fig 2.4 (v-t crossing the axis at t=8, c117), Fig 2.5 (a-t plus v-t, c119). Two independent passes agree (GAP).",0.6699
physics,11,2,Equations of Motion,b,motion_path,widget,none_symbolic,low,"c125 gives v=u+at, s=ut+at^2/2, v^2=u^2+2as and the free-fall forms as algebra. Every figure in its retrieval - Fig 2.3 (c114), Fig 2.4 (c117), Fig 2.1 (c100) - belongs to the Graphical Analysis sub-topic. PASSES SPLIT: A=gap_motion_graph B=none_symbolic; kept the less optimistic.",0.6884
physics,11,2,Free Fall,b,motion_path,widget,none_symbolic,high,"c124/c125/c131/c134 and Addendum C (c169-c171) are prose and algebra: v=gt, h=gt^2/2, H=u^2/2g, T=2u/g, Galileo's 1:3:5, the 9/25-last-second quadratic. No figure caption for free fall in these chunks. Two independent passes agree (none_symbolic).",0.6545
physics,11,2,Relative Velocity,b,motion_path,widget,none_symbolic,high,"c135/c138 teach v_AB = v_A - v_B in 1-D by prose (two trains, two motorcyclists) plus Procedures A and B and 72/54 km/h numericals. The figure captions retrieved (Fig 2.1 in c99, Fig 2.6 in c126) are other sub-topics'. Two independent passes agree (none_symbolic).",0.6649
physics,11,2,Motion with Variable Acceleration,b,xy_plot,widget,gap_decision_tree,med,"c153 carries the tail of a branching diagram caption: a branch ""a = f(x)"" leading to a box ""use v dv = f(x) dx"", plus a side note ""If v is given as v(x), acceleration is a = v dv/dx, NOT dv/dx."" Caption head not retrieved. Two independent passes agree (GAP).",0.7046
physics,11,3,Vector Algebra and Resolution,b,geometry_3d,widget,gap_vector_resolution,high,"c184/c185 render Figure 3.1: an O-P-Q parallelogram construction, A along OP, B at angle theta, resultant R = OQ, a perpendicular dropped to S marking PS = B cos(theta) and QS = B sin(theta), angle alpha at O. Two independent passes agree (GAP).",0.7646
physics,11,3,Vector Products (Dot and Cross),b,geometry_3d,widget,gap_vector_product_diagram,high,"c198/c199 render Figure 3.2, two panels: left, A and B tail-to-tail with projection 'B cos(theta)' dropped onto A; right, A and B in a plane with C = AxB rising out of it, curled right-hand arrow, shaded parallelogram area. Two independent passes agree (GAP).",0.7630
physics,11,3,Motion in Two Dimensions,b,motion_path,widget,gap_position_vector_diagram,high,"c211/c212 render Figure 3.3: a curved x-y trajectory A to B with position vectors r0 and r from O, displacement Dr = r - r0, velocity tangent at A and B, and dashed drops to the axes showing independent x- and y-progress. Two independent passes agree (GAP).",0.7144
physics,11,3,Relative Velocity in a Plane,b,motion_path,widget,gap_river_boat_diagram,high,"c235 renders Figure 3.5: a river with current arrows v_r and two boat scenarios from one start point, 'minimum time' (heading straight across, v_ground tilted downstream) and 'shortest path' (aimed upstream at theta), width d. Two independent passes agree (GAP).",0.6947
physics,11,3,Projectile Motion,b,motion_path,widget,projectile_motion,med,"c222/c223 render Figure 3.4: one parabola launched from origin O at angle theta with speed u, landing at B on level ground; no height, no second body. It also carries dashed u cos/u sin components and H, R labels. Two independent passes agree (projectile_motion).",0.6812
physics,11,3,Circular Motion Kinematics,b,motion_path,widget,none_symbolic,med,"c241/c242/c243 are prose and the formula block: s=r*theta, v=omega*r, a_t=alpha*r, omega=2pi/T, and the constant-alpha angular equations. The only figure retrieved is Figure 3.3 (c212), the 2-D trajectory of sub-topic 03. Two independent passes agree (none_symbolic).",0.6945
physics,11,3,Circular Motion Dynamics,b,motion_path,widget,gap_circular_motion_diagram,high,"c246 renders Figure 3.6: left, a circle centre O with the particle at P and Q, tangent velocities v1, v2, radii subtending Dtheta; right, the isosceles velocity-difference triangle giving |Dv| = v*Dtheta pointing toward O. Two independent passes agree (GAP).",0.6919
physics,11,4,Newton's Laws and Impulse,b,motion_path,widget,none_symbolic,med,"c274-c283: inertia prose, formula block, Derivations 1-3 (F=ma, impulse-momentum, conservation) and a Quantity/Formula/Unit table. 'Impulse = area under the F-t graph' is stated as a formula; no F-t graph figure is described. Two independent passes agree (none_symbolic).",0.7555
physics,11,4,Common Forces in Mechanics and Free-Body Diagrams,b,free_body_forces,widget,gap_free_body_diagram,med,"c332: 'a body, isolated, with arrows for every force acting on it. That picture is a free-body diagram (FBD), and the arrows are drawn from a small, fixed menu of forces.' c338: 'one clean free-body diagram per body, weight arrow first.'. Two independent passes agree (GAP).",0.7450
physics,11,4,Concurrent Forces and Equilibrium,b,free_body_forces,widget,gap_vector_resolution,med,"c294: 'if you drew their three force arrows head to tail, the arrows would close up into a triangle with no gap'. c296's Lami derivation lays the forces head-to-tail and reads interior angles (180-alpha) off that construction. Two independent passes agree (GAP).",0.7531
physics,11,4,"Connected Bodies, Pulleys and Constraint Relations",b,free_body_forces,widget,none_symbolic,high,"c339/c340/c346: the 5-step recipe, Atwood / table+hanging / incline formulas, a Configuration-vs-Key-Relations table. Addendum A (c356) says of the movable-pulley rig: 'it took one line of counting, not a picture of the machine.'. Two independent passes agree (none_symbolic).",0.7423
physics,11,4,Momentum Conservation,b,motion_path,widget,none_symbolic,high,"c284-c286, c293: rocket and skateboard prose, formula block (recoil, perfectly inelastic, 1-D elastic pair, e, v_cm, thrust), Derivation 1 elastic-collision algebra, Derivation 2 rocket thrust, Situation/Key-Relation table. No figure. Two independent passes agree (none_symbolic).",0.7418
